City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hilo,90,US,1610938872,78,19.7297,-155.09,77.0,6.91
Orangeburg,1,US,1610939231,87,33.4918,-80.8557,37.0,7.56
Hermanus,12,ZA,1610939024,82,-34.4187,19.2345,66.0,5.99
Olafsvik,99,IS,1610938794,92,64.8945,-23.7142,34.56,12.53
Ketchikan,90,US,1610939231,100,55.3422,-131.6461,42.8,8.05
Tasiilaq,75,GL,1610939028,68,65.6145,-37.6368,21.2,3.44
Leningradskiy,45,RU,1610939034,82,69.3833,178.4167,-26.77,6.71
Saldanha,0,ZA,1610939027,82,-33.0117,17.9442,62.6,4.61
Saint-Pierre,0,RE,1610939065,65,-21.3393,55.4781,78.8,3.44
Karratha,10,AU,1610939036,37,-20.7377,116.8463,97.86,15.88
Husavik,90,IS,1610939232,100,66.0449,-17.3389,32.0,2.3
Puerto Ayora,9,EC,1610939018,94,-0.7393,-90.3518,75.0,5.77
San Cristobal,9,VE,1610939095,87,7.7669,-72.225,64.83,1.79
Sorong,100,ID,1610939035,79,-0.8833,131.25,80.73,1.21
Hithadhoo,0,MV,1610939022,68,-0.6,73.0833,80.91,7.63
Mahébourg,75,MU,1610939055,83,-20.4081,57.7,78.8,11.5
Ahwa,1,IN,1610939233,54,20.75,73.6833,71.6,1.41
Bluff,96,NZ,1610939030,86,-46.6,168.3333,54.0,8.99
Punta Arenas,90,CL,1610939016,66,-53.15,-70.9167,53.6,14.97
Carbonia,0,IT,1610939233,81,39.1672,8.5222,50.0,10.36
Candolim,20,IN,1610939233,65,15.5181,73.7626,77.0,6.91
Dunedin,100,NZ,1610939025,83,-45.8742,170.5036,59.0,18.01
Faanui,0,PF,1610939059,74,-16.4833,-151.75,82.02,13.35
Ushuaia,40,AR,1610939024,81,-54.8,-68.3,46.4,36.82
Marystown,5,CA,1610939234,80,47.1666,-55.1483,37.29,13.76
Carnarvon,59,AU,1610939048,74,-24.8667,113.6333,87.8,11.5
Kyrenia,40,CY,1610939234,81,35.3417,33.3167,46.4,8.05
Narsaq,75,GL,1610938990,58,60.9167,-46.05,23.0,3.44
Saint Paul Harbor,75,US,1610939016,70,57.79,-152.4072,37.4,12.66
Hong Kong,0,HK,1610938878,48,22.2855,114.1577,60.01,6.06
Pisco,0,PE,1610939033,88,-13.7,-76.2167,68.0,12.66
Anadyr,0,RU,1610939051,69,64.75,177.4833,-18.0,11.18
Mataura,100,NZ,1610939023,86,-46.1927,168.8643,54.0,8.99
Busselton,0,AU,1610939014,29,-33.65,115.3333,90.0,5.99
Hobart,40,AU,1610938927,43,-42.8794,147.3294,69.8,25.32
Pakse,0,LA,1610939235,52,15.1167,105.7833,69.8,11.5
Bengkulu,89,ID,1610939015,73,-3.8004,102.2655,81.32,6.33
Praia da Vitória,75,PT,1610939236,94,38.7333,-27.0667,61.0,23.22
Atar,100,MR,1610939023,27,20.5169,-13.0499,61.54,15.05
Dikson,37,RU,1610939019,84,73.5069,80.5464,-23.15,17.63
Klaksvík,40,FO,1610939016,100,62.2266,-6.589,32.0,2.3
Alyangula,75,AU,1610939065,79,-13.8483,136.4192,86.0,9.22
Torbay,75,CA,1610939019,100,47.6666,-52.7314,37.99,20.71
Coquimbo,75,CL,1610939033,88,-29.9533,-71.3436,59.0,10.36
Nikolskoye,75,RU,1610939044,93,59.7035,30.7861,19.4,6.71
Tuktoyaktuk,75,CA,1610939040,84,69.4541,-133.0374,-2.2,10.36
Belaya Gora,6,RU,1610939237,82,68.5333,146.4167,-39.33,1.36
Broome,90,US,1610939237,80,42.2506,-75.833,35.01,9.22
Barrow,1,US,1610939024,77,71.2906,-156.7887,-4.0,14.97
Cape Town,0,ZA,1610938982,82,-33.9258,18.4232,64.99,8.05
Albany,32,US,1610938805,76,42.6001,-73.9662,35.01,6.82
Arraial do Cabo,90,BR,1610938806,85,-22.9661,-42.0278,75.51,27.07
Tombouctou,98,ML,1610939238,30,20.0,-3.0,58.08,15.5
Jamestown,90,US,1610939014,100,42.097,-79.2353,30.99,9.22
Ribeira Grande,69,PT,1610939019,80,38.5167,-28.7,62.78,27.49
Barra do Garças,100,BR,1610938981,89,-15.89,-52.2567,73.08,1.95
Kapaa,90,US,1610939044,78,22.0752,-159.319,73.4,19.57
Coyhaique,75,CL,1610939076,72,-45.5752,-72.0662,57.2,5.75
Blagoyevo,84,RU,1610939239,91,63.3667,47.9167,-7.82,1.63
Rikitea,11,PF,1610939025,74,-23.1203,-134.9692,78.75,9.89
Bongandanga,98,CD,1610939077,89,1.5,21.05,70.56,3.27
Road Town,95,VG,1610939239,90,18.4167,-64.6167,77.0,10.0
Koungou,0,YT,1610939239,88,-12.7336,45.2042,77.0,2.3
Norman Wells,75,CA,1610939027,84,65.282,-126.8329,-9.4,2.3
Visnes,20,NO,1610939240,93,59.3556,5.2242,39.0,16.11
Chokurdakh,100,RU,1610939023,84,70.6333,147.9167,-27.11,6.55
Machachi,75,EC,1610939240,94,-0.5,-78.5667,55.4,4.61
Chui,0,UY,1610939041,81,-33.6971,-53.4616,61.86,5.93
Kokopo,30,PG,1610939241,59,-4.352,152.2633,85.77,4.36
Baykit,100,RU,1610939111,83,61.67,96.37,-18.72,2.68
Olot,60,ES,1610939241,76,42.181,2.4901,36.0,4.0
El Limon,45,VE,1610939241,87,10.3059,-67.6321,69.44,4.21
Puerto del Rosario,75,ES,1610939241,72,28.5004,-13.8627,62.6,8.05
Cap Malheureux,64,MU,1610939241,75,-19.9842,57.6142,81.0,10.0
Adrar,100,MR,1610939242,32,20.5022,-10.0711,57.85,14.94
Pozo Colorado,99,PY,1610939242,64,-23.4923,-58.7972,66.47,6.33
